time,sitting
0.0,0,[]
1.0000000000000002,0,[]
2.000000000000001,0,[]
2.9999999999999973,0,[]
3.999999999999994,0,[]
4.99999999999999,0,[]
5.999999999999987,0,[]
6.999999999999983,0,[]
7.99999999999998,0,[]
8.999999999999993,0,[]
10.000000000000007,0,[]
11.000000000000021,0,[]
12.000000000000036,0,[]
13.00000000000005,0,[]
14.000000000000064,1,[179]
15.000000000000078,4,[174, 178, 168]
16.000000000000092,5,[169]
17.000000000000107,7,[171, 176]
18.00000000000012,11,[175, 177, 173, 172]
19.000000000000135,13,[167, 170]
20.00000000000015,14,[166]
21.000000000000163,14,[]
22.000000000000178,14,[]
23.000000000000192,15,[165]
24.000000000000206,15,[]
25.00000000000022,15,[]
26.000000000000234,15,[]
27.00000000000025,15,[]
28.000000000000263,15,[]
29.000000000000277,15,[]
30.00000000000029,15,[]
31.000000000000306,15,[]
32.00000000000032,16,[162]
33.00000000000026,16,[]
34.000000000000206,16,[]
35.00000000000015,16,[]
36.00000000000009,17,[157]
37.000000000000036,20,[160, 163, 164]
37.99999999999998,22,[159, 158]
38.99999999999992,23,[154]
39.999999999999865,25,[153, 156]
40.99999999999981,27,[152, 151]
41.99999999999975,30,[161, 150, 155]
42.999999999999694,30,[]
43.99999999999964,30,[]
44.99999999999958,30,[]
45.999999999999524,30,[]
46.99999999999947,30,[]
47.99999999999941,30,[]
48.99999999999935,30,[]
49.9999999999993,30,[]
50.99999999999924,30,[]
51.99999999999918,30,[]
52.999999999999126,30,[]
53.99999999999907,31,[149]
54.99999999999901,32,[144]
55.999999999998956,34,[143, 145]
56.9999999999989,35,[148]
57.99999999999884,35,[]
58.999999999998785,37,[142, 135]
59.99999999999873,39,[138, 146]
60.99999999999867,41,[137, 147]
61.999999999998614,42,[141]
62.99999999999856,44,[136, 140]
63.9999999999985,45,[139]
64.99999999999845,45,[]
65.9999999999984,45,[]
66.99999999999834,45,[]
67.99999999999828,45,[]
68.99999999999822,45,[]
69.99999999999817,45,[]
70.99999999999811,45,[]
71.99999999999805,45,[]
72.999999999998,45,[]
73.99999999999794,46,[133]
74.99999999999788,46,[]
75.99999999999783,47,[130]
76.99999999999777,47,[]
77.99999999999771,50,[132, 134, 131]
78.99999999999766,50,[]
79.9999999999976,50,[]
80.99999999999754,51,[126]
81.99999999999748,56,[129, 121, 125, 120, 127]
82.99999999999743,58,[124, 122]
83.99999999999737,60,[123, 128]
84.99999999999731,60,[]
85.99999999999726,60,[]
86.9999999999972,60,[]
87.99999999999714,60,[]
88.99999999999709,60,[]
89.99999999999703,60,[]
90.99999999999697,60,[]
91.99999999999692,60,[]
92.99999999999686,60,[]
93.9999999999968,60,[]
94.99999999999675,60,[]
95.99999999999669,60,[]
96.99999999999663,60,[]
97.99999999999658,60,[]
98.99999999999652,60,[]
99.99999999999646,60,[]
100.9999999999964,64,[119, 115, 113, 114]
101.99999999999635,65,[116]
102.99999999999629,66,[117]
103.99999999999623,69,[109, 112, 108]
104.99999999999618,70,[118]
105.99999999999612,71,[111]
106.99999999999606,72,[105]
107.999999999996,73,[106]
108.99999999999595,75,[107, 110]
109.9999999999959,75,[]
110.99999999999584,75,[]
111.99999999999578,75,[]
112.99999999999572,75,[]
113.99999999999567,75,[]
114.99999999999561,75,[]
115.99999999999555,75,[]
116.9999999999955,75,[]
117.99999999999544,75,[]
118.99999999999538,75,[]
119.99999999999532,75,[]
120.99999999999527,75,[]
121.99999999999521,75,[]
122.99999999999515,75,[]
123.9999999999951,75,[]
124.99999999999504,75,[]
125.99999999999498,77,[102, 95]
126.99999999999493,79,[104, 99]
127.99999999999487,79,[]
128.99999999999508,85,[96, 100, 93, 98, 92, 101]
129.9999999999953,86,[97]
130.99999999999554,88,[90, 103]
131.99999999999577,89,[91]
132.999999999996,90,[94]
133.99999999999622,90,[]
134.99999999999645,90,[]
135.99999999999667,90,[]
136.9999999999969,90,[]
137.99999999999713,90,[]
138.99999999999736,90,[]
139.99999999999758,90,[]
140.9999999999978,90,[]
141.99999999999804,90,[]
142.99999999999827,90,[]
143.9999999999985,90,[]
144.99999999999872,90,[]
145.99999999999895,90,[]
146.99999999999918,90,[]
147.9999999999994,90,[]
148.99999999999963,93,[88, 87, 89]
149.99999999999986,94,[76]
151.00000000000009,97,[81, 78, 85]
152.0000000000003,99,[86, 80]
153.00000000000054,102,[82, 83, 79]
154.00000000000077,103,[75]
155.000000000001,104,[84]
156.00000000000122,105,[77]
157.00000000000145,105,[]
158.00000000000168,105,[]
159.0000000000019,105,[]
160.00000000000213,105,[]
161.00000000000236,105,[]
162.0000000000026,105,[]
163.0000000000028,105,[]
164.00000000000304,105,[]
165.00000000000327,105,[]
166.0000000000035,105,[]
167.00000000000372,105,[]
168.00000000000395,105,[]
169.00000000000418,105,[]
170.0000000000044,105,[]
171.00000000000463,106,[71]
172.00000000000486,108,[70, 74]
173.0000000000051,108,[]
174.00000000000531,111,[72, 73, 64]
175.00000000000554,113,[68, 63]
176.00000000000577,115,[60, 67]
177.000000000006,117,[66, 62]
178.00000000000622,119,[61, 65]
179.00000000000645,119,[]
180.00000000000668,120,[69]
181.0000000000069,120,[]
182.00000000000713,120,[]
183.00000000000736,120,[]
184.0000000000076,120,[]
185.00000000000782,120,[]
186.00000000000804,120,[]
187.00000000000827,120,[]
188.0000000000085,120,[]
189.00000000000873,120,[]
190.00000000000895,120,[]
191.00000000000918,120,[]
192.0000000000094,120,[]
193.00000000000963,120,[]
194.00000000000986,121,[51]
195.0000000000101,121,[]
196.00000000001032,122,[55]
197.00000000001054,124,[57, 56]
198.00000000001077,126,[46, 58]
199.000000000011,131,[50, 47, 53, 49, 45]
200.00000000001123,133,[59, 54]
201.00000000001145,133,[]
202.00000000001168,134,[52]
203.0000000000119,134,[]
204.00000000001214,135,[48]
205.00000000001236,135,[]
206.0000000000126,135,[]
207.00000000001282,135,[]
208.00000000001305,135,[]
209.00000000001327,135,[]
210.0000000000135,135,[]
211.00000000001373,135,[]
212.00000000001396,135,[]
213.00000000001418,135,[]
214.0000000000144,135,[]
215.00000000001464,135,[]
216.00000000001486,135,[]
217.0000000000151,135,[]
218.00000000001532,135,[]
219.00000000001555,135,[]
220.00000000001577,137,[39, 35]
221.000000000016,141,[44, 40, 36, 41]
222.00000000001623,143,[37, 38]
223.00000000001646,146,[33, 34, 43]
224.00000000001668,148,[32, 31]
225.0000000000169,149,[42]
226.00000000001714,149,[]
227.00000000001737,150,[30]
228.0000000000176,150,[]
229.00000000001782,150,[]
230.00000000001805,150,[]
231.00000000001828,150,[]
232.0000000000185,150,[]
233.00000000001873,150,[]
234.00000000001896,150,[]
235.00000000001918,150,[]
236.0000000000194,150,[]
237.00000000001964,150,[]
238.00000000001987,150,[]
239.0000000000201,150,[]
240.00000000002032,150,[]
241.00000000002055,150,[]
242.00000000002078,150,[]
243.000000000021,150,[]
244.00000000002123,152,[19, 25]
245.00000000002146,154,[22, 29]
246.00000000002169,157,[24, 26, 20]
247.0000000000219,160,[21, 27, 23]
248.00000000002214,162,[17, 18]
249.00000000002237,165,[28, 15, 16]
250.0000000000226,165,[]
251.00000000002282,165,[]
252.00000000002305,165,[]
253.00000000002328,165,[]
254.0000000000235,165,[]
255.00000000002373,165,[]
256.00000000002393,165,[]
257.00000000002416,165,[]
258.0000000000244,165,[]
259.0000000000246,165,[]
260.00000000002484,165,[]
261.00000000002507,165,[]
262.0000000000253,165,[]
263.0000000000255,166,[12]
264.00000000002575,166,[]
265.000000000026,167,[14]
266.0000000000262,168,[9]
267.00000000002643,170,[11, 0]
268.00000000002666,173,[2, 13, 10]
269.0000000000269,174,[8]
270.0000000000271,176,[6, 3]
271.00000000002734,178,[4, 7]
272.00000000002757,179,[1]
273.0000000000278,179,[]
273.5500000000279,180,[5]
