time,sitting
0.0,0,[]
1.0000000000000002,0,[]
2.000000000000001,0,[]
2.9999999999999973,0,[]
3.999999999999994,0,[]
4.99999999999999,0,[]
5.999999999999987,0,[]
6.999999999999983,0,[]
7.99999999999998,0,[]
8.999999999999993,0,[]
10.000000000000007,0,[]
11.000000000000021,0,[]
12.000000000000036,0,[]
13.00000000000005,0,[]
14.000000000000064,2,[178, 175]
15.000000000000078,3,[174]
16.000000000000092,6,[177, 179, 172]
17.000000000000107,9,[170, 165, 167]
18.00000000000012,10,[176]
19.000000000000135,13,[168, 166, 173]
20.00000000000015,14,[171]
21.000000000000163,15,[169]
22.000000000000178,15,[]
23.000000000000192,15,[]
24.000000000000206,15,[]
25.00000000000022,15,[]
26.000000000000234,15,[]
27.00000000000025,15,[]
28.000000000000263,15,[]
29.000000000000277,15,[]
30.00000000000029,15,[]
31.000000000000306,16,[160]
32.00000000000032,19,[154, 162, 163]
33.00000000000026,20,[164]
34.000000000000206,21,[161]
35.00000000000015,22,[152]
36.00000000000009,28,[159, 153, 155, 157, 158, 150]
37.000000000000036,28,[]
37.99999999999998,29,[151]
38.99999999999992,29,[]
39.999999999999865,30,[156]
40.99999999999981,30,[]
41.99999999999975,30,[]
42.999999999999694,30,[]
43.99999999999964,30,[]
44.99999999999958,30,[]
45.999999999999524,30,[]
46.99999999999947,30,[]
47.99999999999941,30,[]
48.99999999999935,30,[]
49.9999999999993,30,[]
50.99999999999924,30,[]
51.99999999999918,32,[149, 136]
52.999999999999126,35,[146, 144, 148]
53.99999999999907,36,[140]
54.99999999999901,38,[145, 141]
55.999999999998956,41,[135, 147, 139]
56.9999999999989,44,[137, 138, 142]
57.99999999999884,44,[]
58.999999999998785,45,[143]
59.99999999999873,45,[]
60.99999999999867,45,[]
61.999999999998614,45,[]
62.99999999999856,45,[]
63.9999999999985,45,[]
64.99999999999845,45,[]
65.9999999999984,45,[]
66.99999999999834,45,[]
67.99999999999828,45,[]
68.99999999999822,45,[]
69.99999999999817,48,[128, 131, 130]
70.99999999999811,49,[134]
71.99999999999805,53,[126, 132, 129, 133]
72.999999999998,54,[124]
73.99999999999794,56,[122, 127]
74.99999999999788,58,[120, 121]
75.99999999999783,59,[125]
76.99999999999777,60,[123]
77.99999999999771,60,[]
78.99999999999766,60,[]
79.9999999999976,60,[]
80.99999999999754,60,[]
81.99999999999748,60,[]
82.99999999999743,60,[]
83.99999999999737,60,[]
84.99999999999731,60,[]
85.99999999999726,60,[]
86.9999999999972,60,[]
87.99999999999714,60,[]
88.99999999999709,60,[]
89.99999999999703,60,[]
90.99999999999697,61,[117]
91.99999999999692,61,[]
92.99999999999686,61,[]
93.9999999999968,62,[110]
94.99999999999675,64,[119, 115]
95.99999999999669,67,[114, 118, 107]
96.99999999999663,69,[109, 108]
97.99999999999658,72,[111, 112, 113]
98.99999999999652,72,[]
99.99999999999646,75,[105, 116, 106]
100.9999999999964,75,[]
101.99999999999635,75,[]
102.99999999999629,75,[]
103.99999999999623,75,[]
104.99999999999618,75,[]
105.99999999999612,75,[]
106.99999999999606,75,[]
107.999999999996,75,[]
108.99999999999595,75,[]
109.9999999999959,75,[]
110.99999999999584,75,[]
111.99999999999578,75,[]
112.99999999999572,75,[]
113.99999999999567,75,[]
114.99999999999561,76,[103]
115.99999999999555,76,[]
116.9999999999955,77,[102]
117.99999999999544,78,[98]
118.99999999999538,79,[104]
119.99999999999532,81,[100, 97]
120.99999999999527,84,[99, 93, 91]
121.99999999999521,85,[101]
122.99999999999515,88,[94, 95, 92]
123.9999999999951,90,[90, 96]
124.99999999999504,90,[]
125.99999999999498,90,[]
126.99999999999493,90,[]
127.99999999999487,90,[]
128.99999999999508,90,[]
129.9999999999953,90,[]
130.99999999999554,90,[]
131.99999999999577,90,[]
132.999999999996,90,[]
133.99999999999622,90,[]
134.99999999999645,90,[]
135.99999999999667,90,[]
136.9999999999969,90,[]
137.99999999999713,90,[]
138.99999999999736,90,[]
139.99999999999758,90,[]
140.9999999999978,90,[]
141.99999999999804,90,[]
142.99999999999827,95,[87, 88, 83, 78, 82]
143.9999999999985,96,[85]
144.99999999999872,100,[81, 79, 89, 84]
145.99999999999895,101,[86]
146.99999999999918,103,[77, 75]
147.9999999999994,104,[80]
148.99999999999963,104,[]
149.99999999999986,104,[]
151.00000000000009,105,[76]
152.0000000000003,105,[]
153.00000000000054,105,[]
154.00000000000077,105,[]
155.000000000001,105,[]
156.00000000000122,105,[]
157.00000000000145,105,[]
158.00000000000168,105,[]
159.0000000000019,105,[]
160.00000000000213,105,[]
161.00000000000236,105,[]
162.0000000000026,105,[]
163.0000000000028,105,[]
164.00000000000304,105,[]
165.00000000000327,105,[]
166.0000000000035,105,[]
167.00000000000372,105,[]
168.00000000000395,108,[71, 74, 64]
169.00000000000418,110,[68, 69]
170.0000000000044,111,[66]
171.00000000000463,113,[73, 72]
172.00000000000486,115,[70, 67]
173.0000000000051,118,[60, 61, 62]
174.00000000000531,118,[]
175.00000000000554,119,[63]
176.00000000000577,119,[]
177.000000000006,120,[65]
178.00000000000622,120,[]
179.00000000000645,120,[]
180.00000000000668,120,[]
181.0000000000069,120,[]
182.00000000000713,120,[]
183.00000000000736,120,[]
184.0000000000076,120,[]
185.00000000000782,120,[]
186.00000000000804,120,[]
187.00000000000827,120,[]
188.0000000000085,120,[]
189.00000000000873,120,[]
190.00000000000895,121,[58]
191.00000000000918,121,[]
192.0000000000094,123,[59, 55]
193.00000000000963,125,[54, 49]
194.00000000000986,127,[52, 53]
195.0000000000101,129,[47, 56]
196.00000000001032,131,[57, 48]
197.00000000001054,134,[50, 46, 51]
198.00000000001077,134,[]
199.000000000011,135,[45]
200.00000000001123,135,[]
201.00000000001145,135,[]
202.00000000001168,135,[]
203.0000000000119,135,[]
204.00000000001214,135,[]
205.00000000001236,135,[]
206.0000000000126,135,[]
207.00000000001282,135,[]
208.00000000001305,135,[]
209.00000000001327,135,[]
210.0000000000135,135,[]
211.00000000001373,135,[]
212.00000000001396,135,[]
213.00000000001418,135,[]
214.0000000000144,135,[]
215.00000000001464,135,[]
216.00000000001486,136,[44]
217.0000000000151,140,[37, 40, 41, 38]
218.00000000001532,141,[36]
219.00000000001555,142,[42]
220.00000000001577,143,[32]
221.000000000016,148,[31, 43, 33, 34, 39]
222.00000000001623,150,[30, 35]
223.00000000001646,150,[]
224.00000000001668,150,[]
225.0000000000169,150,[]
226.00000000001714,150,[]
227.00000000001737,150,[]
228.0000000000176,150,[]
229.00000000001782,150,[]
230.00000000001805,150,[]
231.00000000001828,150,[]
232.0000000000185,150,[]
233.00000000001873,150,[]
234.00000000001896,150,[]
235.00000000001918,150,[]
236.0000000000194,150,[]
237.00000000001964,150,[]
238.00000000001987,151,[25]
239.0000000000201,151,[]
240.00000000002032,153,[24, 28]
241.00000000002055,153,[]
242.00000000002078,156,[15, 27, 21]
243.000000000021,159,[29, 20, 19]
244.00000000002123,165,[23, 16, 22, 26, 18, 17]
245.00000000002146,165,[]
246.00000000002169,165,[]
247.0000000000219,165,[]
248.00000000002214,165,[]
249.00000000002237,165,[]
250.0000000000226,165,[]
251.00000000002282,165,[]
252.00000000002305,165,[]
253.00000000002328,165,[]
254.0000000000235,165,[]
255.00000000002373,165,[]
256.00000000002393,165,[]
257.00000000002416,166,[14]
258.0000000000244,166,[]
259.0000000000246,168,[12, 13]
260.00000000002484,168,[]
261.00000000002507,170,[5, 11]
262.0000000000253,170,[]
263.0000000000255,172,[2, 8]
264.00000000002575,177,[9, 4, 1, 6, 0]
264.90000000002595,180,[10, 7, 3]
