time,sitting
0.0,0,[]
1.0000000000000002,0,[]
2.000000000000001,0,[]
2.9999999999999973,0,[]
3.999999999999994,0,[]
4.99999999999999,0,[]
5.999999999999987,0,[]
6.999999999999983,0,[]
7.99999999999998,0,[]
8.999999999999993,0,[]
10.000000000000007,0,[]
11.000000000000021,0,[]
12.000000000000036,1,[179]
13.00000000000005,1,[]
14.000000000000064,1,[]
15.000000000000078,1,[]
16.000000000000092,1,[]
17.000000000000107,1,[]
18.00000000000012,2,[178]
19.000000000000135,2,[]
20.00000000000015,2,[]
21.000000000000163,2,[]
22.000000000000178,3,[176]
23.000000000000192,3,[]
24.000000000000206,4,[177]
25.00000000000022,4,[]
26.000000000000234,5,[172]
27.00000000000025,5,[]
28.000000000000263,5,[]
29.000000000000277,5,[]
30.00000000000029,5,[]
31.000000000000306,5,[]
32.00000000000032,5,[]
33.00000000000026,5,[]
34.000000000000206,5,[]
35.00000000000015,6,[174]
36.00000000000009,7,[175]
37.000000000000036,7,[]
37.99999999999998,7,[]
38.99999999999992,7,[]
39.999999999999865,8,[171]
40.99999999999981,8,[]
41.99999999999975,8,[]
42.999999999999694,8,[]
43.99999999999964,8,[]
44.99999999999958,8,[]
45.999999999999524,8,[]
46.99999999999947,8,[]
47.99999999999941,9,[173]
48.99999999999935,9,[]
49.9999999999993,9,[]
50.99999999999924,9,[]
51.99999999999918,9,[]
52.999999999999126,9,[]
53.99999999999907,9,[]
54.99999999999901,9,[]
55.999999999998956,11,[169, 170]
56.9999999999989,11,[]
57.99999999999884,12,[166]
58.999999999998785,12,[]
59.99999999999873,12,[]
60.99999999999867,12,[]
61.999999999998614,12,[]
62.99999999999856,12,[]
63.9999999999985,12,[]
64.99999999999845,12,[]
65.9999999999984,12,[]
66.99999999999834,12,[]
67.99999999999828,13,[167]
68.99999999999822,13,[]
69.99999999999817,13,[]
70.99999999999811,13,[]
71.99999999999805,14,[168]
72.999999999998,14,[]
73.99999999999794,14,[]
74.99999999999788,14,[]
75.99999999999783,14,[]
76.99999999999777,15,[164]
77.99999999999771,15,[]
78.99999999999766,15,[]
79.9999999999976,15,[]
80.99999999999754,15,[]
81.99999999999748,15,[]
82.99999999999743,16,[165]
83.99999999999737,16,[]
84.99999999999731,17,[160]
85.99999999999726,17,[]
86.9999999999972,17,[]
87.99999999999714,17,[]
88.99999999999709,18,[163]
89.99999999999703,18,[]
90.99999999999697,19,[162]
91.99999999999692,19,[]
92.99999999999686,19,[]
93.9999999999968,19,[]
94.99999999999675,19,[]
95.99999999999669,19,[]
96.99999999999663,19,[]
97.99999999999658,20,[155]
98.99999999999652,20,[]
99.99999999999646,20,[]
100.9999999999964,21,[157]
101.99999999999635,21,[]
102.99999999999629,22,[158]
103.99999999999623,22,[]
104.99999999999618,23,[161]
105.99999999999612,23,[]
106.99999999999606,23,[]
107.999999999996,23,[]
108.99999999999595,23,[]
109.9999999999959,23,[]
110.99999999999584,23,[]
111.99999999999578,23,[]
112.99999999999572,23,[]
113.99999999999567,24,[156]
114.99999999999561,24,[]
115.99999999999555,26,[159, 153]
116.9999999999955,26,[]
117.99999999999544,26,[]
118.99999999999538,26,[]
119.99999999999532,27,[154]
120.99999999999527,27,[]
121.99999999999521,27,[]
122.99999999999515,27,[]
123.9999999999951,27,[]
124.99999999999504,28,[152]
125.99999999999498,29,[148]
126.99999999999493,29,[]
127.99999999999487,29,[]
128.99999999999508,30,[145]
129.9999999999953,30,[]
130.99999999999554,30,[]
131.99999999999577,31,[147]
132.999999999996,32,[150]
133.99999999999622,32,[]
134.99999999999645,32,[]
135.99999999999667,34,[151, 144]
136.9999999999969,34,[]
137.99999999999713,35,[146]
138.99999999999736,35,[]
139.99999999999758,36,[140]
140.9999999999978,36,[]
141.99999999999804,36,[]
142.99999999999827,36,[]
143.9999999999985,37,[143]
144.99999999999872,37,[]
145.99999999999895,37,[]
146.99999999999918,38,[149]
147.9999999999994,39,[137]
148.99999999999963,39,[]
149.99999999999986,39,[]
151.00000000000009,40,[136]
152.0000000000003,41,[138]
153.00000000000054,41,[]
154.00000000000077,41,[]
155.000000000001,41,[]
156.00000000000122,42,[139]
157.00000000000145,42,[]
158.00000000000168,44,[141, 142]
159.0000000000019,44,[]
160.00000000000213,45,[133]
161.00000000000236,46,[132]
162.0000000000026,46,[]
163.0000000000028,46,[]
164.00000000000304,46,[]
165.00000000000327,46,[]
166.0000000000035,46,[]
167.00000000000372,46,[]
168.00000000000395,46,[]
169.00000000000418,46,[]
170.0000000000044,46,[]
171.00000000000463,47,[135]
172.00000000000486,47,[]
173.0000000000051,47,[]
174.00000000000531,47,[]
175.00000000000554,48,[128]
176.00000000000577,49,[124]
177.000000000006,49,[]
178.00000000000622,51,[131, 134]
179.00000000000645,51,[]
180.00000000000668,51,[]
181.0000000000069,51,[]
182.00000000000713,51,[]
183.00000000000736,51,[]
184.0000000000076,51,[]
185.00000000000782,51,[]
186.00000000000804,53,[123, 129]
187.00000000000827,53,[]
188.0000000000085,53,[]
189.00000000000873,54,[130]
190.00000000000895,54,[]
191.00000000000918,56,[117, 127]
192.0000000000094,56,[]
193.00000000000963,56,[]
194.00000000000986,57,[120]
195.0000000000101,58,[118]
196.00000000001032,58,[]
197.00000000001054,58,[]
198.00000000001077,59,[126]
199.000000000011,59,[]
200.00000000001123,59,[]
201.00000000001145,59,[]
202.00000000001168,60,[122]
203.0000000000119,61,[125]
204.00000000001214,62,[116]
205.00000000001236,62,[]
206.0000000000126,62,[]
207.00000000001282,62,[]
208.00000000001305,62,[]
209.00000000001327,63,[113]
210.0000000000135,63,[]
211.00000000001373,64,[121]
212.00000000001396,65,[115]
213.00000000001418,65,[]
214.0000000000144,65,[]
215.00000000001464,65,[]
216.00000000001486,65,[]
217.0000000000151,65,[]
218.00000000001532,65,[]
219.00000000001555,67,[119, 112]
220.00000000001577,67,[]
221.000000000016,67,[]
222.00000000001623,68,[114]
223.00000000001646,68,[]
224.00000000001668,68,[]
225.0000000000169,68,[]
226.00000000001714,68,[]
227.00000000001737,68,[]
228.0000000000176,68,[]
229.00000000001782,68,[]
230.00000000001805,69,[111]
231.00000000001828,70,[104]
232.0000000000185,70,[]
233.00000000001873,70,[]
234.00000000001896,71,[105]
235.00000000001918,72,[110]
236.0000000000194,72,[]
237.00000000001964,72,[]
238.00000000001987,72,[]
239.0000000000201,72,[]
240.00000000002032,73,[109]
241.00000000002055,73,[]
242.00000000002078,73,[]
243.000000000021,74,[101]
244.00000000002123,74,[]
245.00000000002146,75,[103]
246.00000000002169,75,[]
247.0000000000219,75,[]
248.00000000002214,76,[96]
249.00000000002237,77,[107]
250.0000000000226,77,[]
251.00000000002282,77,[]
252.00000000002305,77,[]
253.00000000002328,77,[]
254.0000000000235,78,[108]
255.00000000002373,78,[]
256.00000000002393,79,[95]
257.00000000002416,79,[]
258.0000000000244,79,[]
259.0000000000246,79,[]
260.00000000002484,79,[]
261.00000000002507,79,[]
262.0000000000253,79,[]
263.0000000000255,79,[]
264.00000000002575,79,[]
265.000000000026,79,[]
266.0000000000262,79,[]
267.00000000002643,79,[]
268.00000000002666,80,[106]
269.0000000000269,81,[85]
270.0000000000271,81,[]
271.00000000002734,83,[87, 94]
272.00000000002757,83,[]
273.0000000000278,83,[]
274.000000000028,83,[]
275.00000000002825,83,[]
276.0000000000285,83,[]
277.0000000000287,83,[]
278.00000000002893,85,[102, 99]
279.00000000002916,85,[]
280.0000000000294,86,[98]
281.0000000000296,86,[]
282.00000000002984,86,[]
283.00000000003007,86,[]
284.0000000000303,86,[]
285.0000000000305,87,[89]
286.00000000003075,87,[]
287.000000000031,88,[92]
288.0000000000312,88,[]
289.00000000003143,88,[]
290.00000000003166,89,[100]
291.0000000000319,90,[93]
292.0000000000321,91,[78]
293.00000000003234,91,[]
294.00000000003257,91,[]
295.0000000000328,92,[97]
296.000000000033,93,[88]
297.00000000003325,94,[84]
298.0000000000335,95,[90]
299.0000000000337,96,[86]
300.00000000003394,96,[]
301.00000000003416,98,[75, 80]
302.0000000000344,98,[]
303.0000000000346,98,[]
304.00000000003485,98,[]
305.0000000000351,99,[91]
306.0000000000353,99,[]
307.0000000000355,99,[]
308.00000000003575,99,[]
309.000000000036,100,[82]
310.0000000000362,100,[]
311.00000000003644,101,[79]
312.00000000003666,101,[]
313.0000000000369,101,[]
314.0000000000371,101,[]
315.00000000003735,101,[]
316.0000000000376,102,[83]
317.0000000000378,102,[]
318.000000000038,102,[]
319.00000000003826,103,[81]
320.0000000000385,103,[]
321.0000000000387,104,[77]
322.00000000003894,105,[73]
323.00000000003917,105,[]
324.0000000000394,105,[]
325.0000000000396,105,[]
326.00000000003985,106,[74]
327.0000000000401,106,[]
328.0000000000403,106,[]
329.00000000004053,107,[76]
330.00000000004076,107,[]
331.000000000041,108,[72]
332.0000000000412,108,[]
333.00000000004144,108,[]
334.00000000004167,108,[]
335.0000000000419,108,[]
336.0000000000421,108,[]
337.00000000004235,108,[]
338.0000000000426,108,[]
339.0000000000428,108,[]
340.00000000004303,109,[71]
341.00000000004326,109,[]
342.0000000000435,109,[]
343.0000000000437,109,[]
344.00000000004394,109,[]
345.00000000004417,109,[]
346.0000000000444,109,[]
347.0000000000446,109,[]
348.00000000004485,109,[]
349.0000000000451,109,[]
350.0000000000453,110,[70]
351.00000000004553,110,[]
352.00000000004576,110,[]
353.000000000046,110,[]
354.0000000000462,111,[65]
355.00000000004644,111,[]
356.00000000004667,111,[]
357.0000000000469,111,[]
358.0000000000471,111,[]
359.00000000004735,111,[]
360.0000000000476,112,[68]
361.0000000000478,113,[66]
362.00000000004803,113,[]
363.00000000004826,114,[64]
364.0000000000485,114,[]
365.0000000000487,114,[]
366.00000000004894,114,[]
367.00000000004917,115,[69]
368.0000000000494,115,[]
369.0000000000496,115,[]
370.00000000004985,116,[67]
371.0000000000501,116,[]
372.0000000000503,117,[62]
373.00000000005053,118,[60]
374.00000000005076,118,[]
375.000000000051,118,[]
376.0000000000512,119,[57]
377.00000000005144,120,[55]
378.00000000005167,121,[49]
379.0000000000519,121,[]
380.0000000000521,122,[59]
381.00000000005235,123,[63]
382.0000000000526,123,[]
383.0000000000528,124,[61]
384.00000000005303,124,[]
385.00000000005326,124,[]
386.0000000000535,124,[]
387.0000000000537,125,[58]
388.00000000005394,126,[51]
389.0000000000542,126,[]
390.0000000000544,126,[]
391.0000000000546,126,[]
392.00000000005485,126,[]
393.0000000000551,126,[]
394.0000000000553,126,[]
395.00000000005554,127,[47]
396.00000000005576,127,[]
397.000000000056,127,[]
398.0000000000562,127,[]
399.00000000005645,127,[]
400.0000000000567,127,[]
401.0000000000569,127,[]
402.0000000000571,128,[56]
403.00000000005736,128,[]
404.0000000000576,130,[42, 50]
405.0000000000578,132,[54, 43]
406.00000000005804,132,[]
407.00000000005826,132,[]
408.0000000000585,132,[]
409.0000000000587,132,[]
410.00000000005895,132,[]
411.0000000000592,132,[]
412.0000000000594,132,[]
413.00000000005963,132,[]
414.00000000005986,132,[]
415.0000000000601,132,[]
416.0000000000603,132,[]
417.00000000006054,133,[48]
418.00000000006077,134,[33]
419.000000000061,136,[53, 52]
420.0000000000612,136,[]
421.00000000006145,136,[]
422.0000000000617,137,[35]
423.0000000000619,137,[]
424.00000000006213,139,[38, 28]
425.00000000006236,139,[]
426.0000000000626,139,[]
427.0000000000628,139,[]
428.00000000006304,139,[]
429.00000000006327,139,[]
430.0000000000635,139,[]
431.0000000000637,139,[]
432.00000000006395,140,[39]
433.0000000000642,142,[46, 45]
434.0000000000644,143,[41]
435.00000000006463,144,[37]
436.00000000006486,145,[25]
437.0000000000651,145,[]
438.0000000000653,145,[]
439.00000000006554,145,[]
440.00000000006577,146,[23]
441.000000000066,146,[]
442.0000000000662,147,[44]
443.00000000006645,147,[]
444.0000000000667,147,[]
445.0000000000669,147,[]
446.00000000006713,148,[24]
447.00000000006736,148,[]
448.0000000000676,148,[]
449.0000000000678,148,[]
450.00000000006804,148,[]
451.00000000006827,149,[20]
452.0000000000685,149,[]
453.0000000000687,151,[22, 40]
454.00000000006895,152,[19]
455.0000000000692,153,[32]
456.0000000000694,153,[]
457.00000000006963,154,[29]
458.00000000006986,154,[]
459.0000000000701,154,[]
460.0000000000703,155,[18]
461.00000000007054,155,[]
462.00000000007077,156,[15]
463.000000000071,157,[16]
464.0000000000712,157,[]
465.00000000007145,158,[31]
466.0000000000717,159,[27]
467.0000000000719,160,[36]
468.00000000007213,160,[]
469.00000000007236,160,[]
470.0000000000726,160,[]
471.0000000000728,160,[]
472.00000000007304,161,[17]
473.00000000007327,161,[]
474.0000000000735,162,[12]
475.0000000000737,162,[]
476.00000000007395,163,[26]
477.0000000000742,163,[]
478.0000000000744,165,[9, 21]
479.00000000007464,165,[]
