time,sitting
0.0,0,[]
1.0000000000000002,0,[]
2.000000000000001,0,[]
2.9999999999999973,0,[]
3.999999999999994,0,[]
4.99999999999999,0,[]
5.999999999999987,0,[]
6.999999999999983,0,[]
7.99999999999998,0,[]
8.999999999999993,1,[179]
10.000000000000007,1,[]
11.000000000000021,2,[178]
12.000000000000036,2,[]
13.00000000000005,2,[]
14.000000000000064,2,[]
15.000000000000078,2,[]
16.000000000000092,2,[]
17.000000000000107,2,[]
18.00000000000012,2,[]
19.000000000000135,2,[]
20.00000000000015,2,[]
21.000000000000163,2,[]
22.000000000000178,2,[]
23.000000000000192,3,[172]
24.000000000000206,4,[177]
25.00000000000022,6,[168, 174]
26.000000000000234,6,[]
27.00000000000025,6,[]
28.000000000000263,6,[]
29.000000000000277,6,[]
30.00000000000029,6,[]
31.000000000000306,6,[]
32.00000000000032,6,[]
33.00000000000026,7,[173]
34.000000000000206,7,[]
35.00000000000015,9,[175, 176]
36.00000000000009,9,[]
37.000000000000036,9,[]
37.99999999999998,9,[]
38.99999999999992,9,[]
39.999999999999865,9,[]
40.99999999999981,9,[]
41.99999999999975,9,[]
42.999999999999694,9,[]
43.99999999999964,9,[]
44.99999999999958,10,[171]
45.999999999999524,11,[163]
46.99999999999947,11,[]
47.99999999999941,12,[159]
48.99999999999935,12,[]
49.9999999999993,12,[]
50.99999999999924,12,[]
51.99999999999918,12,[]
52.999999999999126,12,[]
53.99999999999907,12,[]
54.99999999999901,15,[158, 170, 167]
55.999999999998956,15,[]
56.9999999999989,15,[]
57.99999999999884,16,[160]
58.999999999998785,16,[]
59.99999999999873,16,[]
60.99999999999867,17,[169]
61.999999999998614,17,[]
62.99999999999856,17,[]
63.9999999999985,17,[]
64.99999999999845,18,[166]
65.9999999999984,18,[]
66.99999999999834,20,[165, 162]
67.99999999999828,20,[]
68.99999999999822,21,[154]
69.99999999999817,21,[]
70.99999999999811,21,[]
71.99999999999805,21,[]
72.999999999998,21,[]
73.99999999999794,21,[]
74.99999999999788,21,[]
75.99999999999783,22,[161]
76.99999999999777,23,[164]
77.99999999999771,23,[]
78.99999999999766,24,[157]
79.9999999999976,24,[]
80.99999999999754,24,[]
81.99999999999748,24,[]
82.99999999999743,24,[]
83.99999999999737,24,[]
84.99999999999731,24,[]
85.99999999999726,24,[]
86.9999999999972,25,[152]
87.99999999999714,25,[]
88.99999999999709,26,[147]
89.99999999999703,26,[]
90.99999999999697,27,[155]
91.99999999999692,29,[151, 156]
92.99999999999686,29,[]
93.9999999999968,29,[]
94.99999999999675,29,[]
95.99999999999669,29,[]
96.99999999999663,29,[]
97.99999999999658,29,[]
98.99999999999652,30,[149]
99.99999999999646,30,[]
100.9999999999964,30,[]
101.99999999999635,30,[]
102.99999999999629,30,[]
103.99999999999623,30,[]
104.99999999999618,32,[144, 145]
105.99999999999612,33,[153]
106.99999999999606,34,[150]
107.999999999996,34,[]
108.99999999999595,35,[146]
109.9999999999959,35,[]
110.99999999999584,35,[]
111.99999999999578,35,[]
112.99999999999572,35,[]
113.99999999999567,35,[]
114.99999999999561,35,[]
115.99999999999555,36,[143]
116.9999999999955,36,[]
117.99999999999544,37,[139]
118.99999999999538,38,[148]
119.99999999999532,38,[]
120.99999999999527,38,[]
121.99999999999521,40,[140, 142]
122.99999999999515,40,[]
123.9999999999951,40,[]
124.99999999999504,40,[]
125.99999999999498,40,[]
126.99999999999493,41,[138]
127.99999999999487,42,[133]
128.99999999999508,42,[]
129.9999999999953,42,[]
130.99999999999554,42,[]
131.99999999999577,43,[141]
132.999999999996,43,[]
133.99999999999622,45,[137, 131]
134.99999999999645,45,[]
135.99999999999667,46,[132]
136.9999999999969,46,[]
137.99999999999713,46,[]
138.99999999999736,46,[]
139.99999999999758,46,[]
140.9999999999978,46,[]
141.99999999999804,46,[]
142.99999999999827,46,[]
143.9999999999985,47,[135]
144.99999999999872,47,[]
145.99999999999895,47,[]
146.99999999999918,47,[]
147.9999999999994,48,[136]
148.99999999999963,48,[]
149.99999999999986,48,[]
151.00000000000009,48,[]
152.0000000000003,48,[]
153.00000000000054,48,[]
154.00000000000077,48,[]
155.000000000001,48,[]
156.00000000000122,49,[130]
157.00000000000145,51,[134, 129]
158.00000000000168,51,[]
159.0000000000019,52,[119]
160.00000000000213,52,[]
161.00000000000236,52,[]
162.0000000000026,52,[]
163.0000000000028,52,[]
164.00000000000304,52,[]
165.00000000000327,52,[]
166.0000000000035,52,[]
167.00000000000372,52,[]
168.00000000000395,54,[124, 122]
169.00000000000418,56,[117, 128]
170.0000000000044,56,[]
171.00000000000463,56,[]
172.00000000000486,56,[]
173.0000000000051,57,[123]
174.00000000000531,58,[120]
175.00000000000554,59,[118]
176.00000000000577,59,[]
177.000000000006,59,[]
178.00000000000622,60,[125]
179.00000000000645,60,[]
180.00000000000668,60,[]
181.0000000000069,61,[127]
182.00000000000713,61,[]
183.00000000000736,61,[]
184.0000000000076,61,[]
185.00000000000782,62,[121]
186.00000000000804,63,[110]
187.00000000000827,63,[]
188.0000000000085,63,[]
189.00000000000873,63,[]
190.00000000000895,64,[113]
191.00000000000918,65,[114]
192.0000000000094,66,[116]
193.00000000000963,66,[]
194.00000000000986,66,[]
195.0000000000101,66,[]
196.00000000001032,67,[126]
197.00000000001054,67,[]
198.00000000001077,67,[]
199.000000000011,67,[]
200.00000000001123,67,[]
201.00000000001145,67,[]
202.00000000001168,67,[]
203.0000000000119,67,[]
204.00000000001214,67,[]
205.00000000001236,68,[105]
206.0000000000126,70,[106, 115]
207.00000000001282,70,[]
208.00000000001305,70,[]
209.00000000001327,70,[]
210.0000000000135,70,[]
211.00000000001373,70,[]
212.00000000001396,70,[]
213.00000000001418,70,[]
214.0000000000144,73,[112, 111, 101]
215.00000000001464,73,[]
216.00000000001486,73,[]
217.0000000000151,73,[]
218.00000000001532,73,[]
219.00000000001555,73,[]
220.00000000001577,73,[]
221.000000000016,74,[100]
222.00000000001623,74,[]
223.00000000001646,74,[]
224.00000000001668,74,[]
225.0000000000169,74,[]
226.00000000001714,74,[]
227.00000000001737,74,[]
228.0000000000176,74,[]
229.00000000001782,74,[]
230.00000000001805,74,[]
231.00000000001828,75,[109]
232.0000000000185,76,[97]
233.00000000001873,76,[]
234.00000000001896,76,[]
235.00000000001918,76,[]
236.0000000000194,76,[]
237.00000000001964,76,[]
238.00000000001987,76,[]
239.0000000000201,77,[104]
240.00000000002032,78,[108]
241.00000000002055,78,[]
242.00000000002078,78,[]
243.000000000021,79,[95]
244.00000000002123,79,[]
245.00000000002146,79,[]
246.00000000002169,79,[]
247.0000000000219,79,[]
248.00000000002214,79,[]
249.00000000002237,79,[]
250.0000000000226,79,[]
251.00000000002282,79,[]
252.00000000002305,79,[]
253.00000000002328,79,[]
254.0000000000235,79,[]
255.00000000002373,79,[]
256.00000000002393,80,[92]
257.00000000002416,80,[]
258.0000000000244,82,[107, 103]
259.0000000000246,83,[93]
260.00000000002484,83,[]
261.00000000002507,83,[]
262.0000000000253,83,[]
263.0000000000255,83,[]
264.00000000002575,83,[]
265.000000000026,84,[102]
266.0000000000262,85,[86]
267.00000000002643,85,[]
268.00000000002666,85,[]
269.0000000000269,85,[]
270.0000000000271,85,[]
271.00000000002734,86,[91]
272.00000000002757,87,[98]
273.0000000000278,87,[]
274.000000000028,87,[]
275.00000000002825,87,[]
276.0000000000285,88,[99]
277.0000000000287,88,[]
278.00000000002893,88,[]
279.00000000002916,88,[]
280.0000000000294,88,[]
281.0000000000296,89,[88]
282.00000000002984,90,[96]
283.00000000003007,91,[90]
284.0000000000303,91,[]
285.0000000000305,91,[]
286.00000000003075,91,[]
287.000000000031,91,[]
288.0000000000312,91,[]
289.00000000003143,91,[]
290.00000000003166,92,[87]
291.0000000000319,92,[]
292.0000000000321,92,[]
293.00000000003234,92,[]
294.00000000003257,93,[78]
295.0000000000328,95,[94, 89]
296.000000000033,95,[]
297.00000000003325,96,[85]
298.0000000000335,96,[]
299.0000000000337,96,[]
300.00000000003394,96,[]
301.00000000003416,97,[76]
302.0000000000344,97,[]
303.0000000000346,97,[]
304.00000000003485,97,[]
305.0000000000351,97,[]
306.0000000000353,97,[]
307.0000000000355,98,[84]
308.00000000003575,98,[]
309.000000000036,98,[]
310.0000000000362,98,[]
311.00000000003644,100,[77, 80]
312.00000000003666,100,[]
313.0000000000369,102,[72, 83]
314.0000000000371,102,[]
315.00000000003735,102,[]
316.0000000000376,102,[]
317.0000000000378,102,[]
318.000000000038,102,[]
319.00000000003826,102,[]
320.0000000000385,102,[]
321.0000000000387,104,[82, 79]
322.00000000003894,104,[]
323.00000000003917,106,[67, 81]
324.0000000000394,108,[70, 64]
325.0000000000396,108,[]
326.00000000003985,108,[]
327.0000000000401,108,[]
328.0000000000403,109,[60]
329.00000000004053,109,[]
330.00000000004076,109,[]
331.000000000041,109,[]
332.0000000000412,110,[73]
333.00000000004144,111,[75]
334.00000000004167,112,[74]
335.0000000000419,113,[63]
336.0000000000421,114,[61]
337.00000000004235,114,[]
338.0000000000426,114,[]
339.0000000000428,114,[]
340.00000000004303,114,[]
341.00000000004326,114,[]
342.0000000000435,114,[]
343.0000000000437,115,[71]
344.00000000004394,115,[]
345.00000000004417,115,[]
346.0000000000444,115,[]
347.0000000000446,115,[]
348.00000000004485,115,[]
349.0000000000451,115,[]
350.0000000000453,116,[58]
351.00000000004553,116,[]
352.00000000004576,117,[54]
353.000000000046,118,[69]
354.0000000000462,118,[]
355.00000000004644,119,[68]
356.00000000004667,119,[]
357.0000000000469,119,[]
358.0000000000471,119,[]
359.00000000004735,119,[]
360.0000000000476,120,[57]
361.0000000000478,121,[66]
362.00000000004803,122,[65]
363.00000000004826,122,[]
364.0000000000485,122,[]
365.0000000000487,123,[47]
366.00000000004894,124,[46]
367.00000000004917,125,[62]
368.0000000000494,125,[]
369.0000000000496,125,[]
370.00000000004985,125,[]
371.0000000000501,125,[]
372.0000000000503,125,[]
373.00000000005053,125,[]
374.00000000005076,126,[51]
375.000000000051,126,[]
376.0000000000512,128,[56, 45]
377.00000000005144,128,[]
378.00000000005167,130,[59, 55]
379.0000000000519,130,[]
380.0000000000521,130,[]
381.00000000005235,131,[53]
382.0000000000526,131,[]
383.0000000000528,131,[]
384.00000000005303,131,[]
385.00000000005326,132,[40]
386.0000000000535,132,[]
387.0000000000537,132,[]
388.00000000005394,132,[]
389.0000000000542,132,[]
390.0000000000544,133,[44]
391.0000000000546,134,[50]
392.00000000005485,135,[37]
393.0000000000551,135,[]
394.0000000000553,136,[48]
395.00000000005554,136,[]
396.00000000005576,137,[52]
397.000000000056,137,[]
398.0000000000562,137,[]
399.00000000005645,137,[]
400.0000000000567,137,[]
401.0000000000569,139,[41, 38]
402.0000000000571,139,[]
403.00000000005736,139,[]
404.0000000000576,141,[43, 49]
405.0000000000578,141,[]
406.00000000005804,141,[]
407.00000000005826,141,[]
408.0000000000585,141,[]
409.0000000000587,141,[]
410.00000000005895,141,[]
411.0000000000592,143,[42, 33]
412.0000000000594,143,[]
413.00000000005963,144,[30]
414.00000000005986,145,[35]
415.0000000000601,145,[]
416.0000000000603,145,[]
417.00000000006054,146,[39]
418.00000000006077,146,[]
419.000000000061,147,[29]
420.0000000000612,147,[]
421.00000000006145,147,[]
422.0000000000617,147,[]
423.0000000000619,147,[]
424.00000000006213,147,[]
425.00000000006236,149,[34, 32]
426.0000000000626,151,[36, 28]
427.0000000000628,151,[]
428.00000000006304,151,[]
429.00000000006327,151,[]
430.0000000000635,151,[]
431.0000000000637,151,[]
432.00000000006395,151,[]
433.0000000000642,151,[]
434.0000000000644,151,[]
435.00000000006463,151,[]
436.00000000006486,151,[]
437.0000000000651,151,[]
438.0000000000653,151,[]
439.00000000006554,152,[31]
440.00000000006577,152,[]
441.000000000066,153,[26]
442.0000000000662,154,[25]
443.00000000006645,154,[]
444.0000000000667,154,[]
445.0000000000669,154,[]
446.00000000006713,154,[]
447.00000000006736,155,[27]
448.0000000000676,155,[]
449.0000000000678,155,[]
450.00000000006804,155,[]
451.00000000006827,155,[]
452.0000000000685,156,[24]
453.0000000000687,157,[23]
454.00000000006895,158,[22]
455.0000000000692,158,[]
456.0000000000694,158,[]
457.00000000006963,158,[]
458.00000000006986,158,[]
459.0000000000701,158,[]
460.0000000000703,158,[]
461.00000000007054,158,[]
462.00000000007077,158,[]
463.000000000071,158,[]
464.0000000000712,158,[]
465.00000000007145,159,[21]
466.0000000000717,159,[]
467.0000000000719,159,[]
468.00000000007213,160,[19]
469.00000000007236,161,[17]
470.0000000000726,161,[]
471.0000000000728,162,[14]
472.00000000007304,162,[]
473.00000000007327,162,[]
474.0000000000735,162,[]
475.0000000000737,162,[]
476.00000000007395,164,[18, 20]
477.0000000000742,164,[]
478.0000000000744,164,[]
